City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
253,Sao Miguel Do Araguaia,BR,-13.28,-50.16,79.0,61,33,3.29,scattered clouds
254,Coahuayana,MX,18.73,-103.68,84.2,74,40,13.87,scattered clouds
255,Nizwa,OM,22.93,57.53,62.69,33,0,2.35,clear sky
256,Tonekabon,IR,36.82,50.87,59.0,87,0,0.96,clear sky
257,Bambous Virieux,MU,-20.34,57.76,73.0,88,75,9.17,shower rain
258,Port Moresby,PG,-9.44,147.18,82.67,73,76,2.06,broken clouds
259,Grindavik,IS,63.84,-22.43,42.8,81,0,9.17,clear sky
260,Camana,PE,-16.62,-72.71,63.61,72,55,5.28,broken clouds
261,Klaksvik,FO,62.23,-6.59,44.6,81,26,9.17,scattered clouds
262,Gladstone,AU,-23.85,151.25,78.8,69,90,5.82,overcast clouds
263,Passo De Camaragibe,BR,-9.24,-35.49,77.0,88,0,6.93,clear sky
264,Livingston,GB,55.9,-3.52,48.99,76,0,14.99,clear sky
265,Karpathos,GR,35.51,27.21,68.0,82,90,8.05,overcast clouds
266,Narsaq,GL,60.92,-46.05,39.2,60,100,24.16,overcast clouds
267,Aquiraz,BR,-3.9,-38.39,80.6,78,0,10.29,clear sky
268,Leh,IN,34.17,77.58,26.6,82,92,2.57,overcast clouds
269,Thessalon,CA,46.25,-83.57,37.4,93,90,3.91,overcast clouds
270,Pop,UZ,40.87,71.11,46.4,49,0,6.93,clear sky
271,Manyana,BW,-23.4,21.72,77.43,35,100,2.44,overcast clouds
272,Rameshki,RU,57.34,36.05,42.75,95,83,3.13,broken clouds
273,Sao Filipe,CV,14.9,-24.5,82.8,62,96,15.14,overcast clouds
274,Sukhobezvodnoye,RU,57.05,44.89,33.75,94,69,6.46,broken clouds
275,Aguimes,ES,27.91,-15.45,70.0,68,75,19.46,broken clouds
276,Aasiaat,GL,68.71,-52.87,10.65,88,83,7.96,broken clouds
277,Baruun-Urt,MN,46.68,113.28,33.06,88,0,12.5,clear sky
278,Fort Nelson,CA,58.81,-122.7,30.2,50,90,5.82,overcast clouds
279,Okha,RU,53.57,142.95,39.88,91,100,23.26,moderate rain
280,Koungou,YT,-12.73,45.2,77.0,83,0,8.05,clear sky
